"","C9","I9","C11","I11","C16","I16"
"MSTRG.16511",25.612509,36.579145,26.116999,28.247458,31.921425,37.847911
"MSTRG.16512",0.413931,0.32777,0.37533,0.406067,0.307241,0.409454
"MSTRG.16513",3.369476,4.49279,3.812912,5.167282,3.169071,4.421609
"MSTRG.16514",2.148733,2.039202,3.156901,4.385171,2.453425,3.396246
"MSTRG.16515",40.929296,44.706918,46.562174,50.054514,49.943413,52.725111
"MSTRG.16516",21.197838,21.265568,23.833733,24.756649,14.547315,19.004694
"MSTRG.16517",15.474448,17.347815,18.062301,18.52552,13.386648,15.411024
"MSTRG.16518",4.300764,6.028672,5.458619,5.88914,5.581363,5.384447
"MSTRG.16519",0.078412,0.202472,0.077502,0.022262,0.111542,0.050133
"MSTRG.1652",56.078751,79.495766,78.413536,69.12455,38.292461,39.357185
"MSTRG.16520",0.643907,0.472059,0.356843,0.558156,0.571246,0.511312
"MSTRG.16521",0.015414,0.007058,0,0,0,0
"MSTRG.16522",2.873709,2.964876,3.629108,3.910909,1.951786,2.380135
"MSTRG.16523",39.68169,43.329301,41.099033,39.918415,27.314071,28.196476
"MSTRG.16524",0,0,0.011769,0.04845,0,0.005162
"MSTRG.16525",0.072923,0.09656,0.093852,0.1013,0.110007,0.21927
"MSTRG.16526",0,0,0,0,0,0
"MSTRG.16527",0,0,0,0,0,0
"MSTRG.16528",0,0,0,0,0,0
"MSTRG.16529",0,0,0,0,0,0
"MSTRG.1653",7.422399,9.360888,5.312187,7.786482,3.290132,5.353295
"MSTRG.16530",0.197318,0.213073,0.200088,0.100554,0.1281,0
"MSTRG.16531",3.135692,3.427395,1.886807,2.260659,1.468611,1.420458
"MSTRG.16532",24.700952,37.043035,28.860522,28.995692,39.112407,44.520418
"MSTRG.16533",0.129463,0,0.401717,0,0,0
"MSTRG.16534",83.311066,83.541367,97.761002,104.917458,71.748955,70.312996
"MSTRG.16535",0.95426,1.187757,1.370276,1.73711,1.061295,0.85499
"MSTRG.16536",101.859039,124.33699,120.602173,124.408226,87.225067,84.09182
"MSTRG.16537",1.638034,2.168374,1.856671,2.314098,1.232803,1.333725
"MSTRG.16538",21.085234,26.762457,19.695484,20.408674,26.141701,28.886499
"MSTRG.16539",0.223234,0.277981,0.281983,0.376707,0.528622,0.708486
"MSTRG.1654",0.43403,0.340279,0.186001,0.379427,0.27166,0.206903
"MSTRG.16540",0.018026,0,0,0,0,0.109376
"MSTRG.16541",47.719222,59.221041,69.379258,80.97469,73.079092,79.00364
"MSTRG.16542",0.375635,0.185547,0.268076,0.448658,0.4223,0.817409
"MSTRG.16543",44.260216,50.656502,48.085209,44.679699,41.72263,41.476482
"MSTRG.16544",3.345056,2.613433,4.350684,4.044411,2.554137,3.122171
"MSTRG.16545",17.912574,21.191589,18.126225,19.545613,17.791309,17.979158
"MSTRG.16546",41.05608,47.351259,45.563268,52.76221,31.908307,30.495855
"MSTRG.16547",103.820744,114.087925,123.289336,120.470119,80.251985,81.759579
"MSTRG.16548",18.408053,23.023882,20.462798,23.251972,20.34455,22.867203
"MSTRG.16549",277.461914,281.587494,267.358612,265.817047,185.944809,178.680878
"MSTRG.1655",300.901704,394.895814,319.740122,343.732655,315.391249,316.124796
"MSTRG.16550",21.768718,27.172291,19.759765,21.781938,12.210941,14.050465
"MSTRG.16551",24.073436,27.637715,21.774434,23.309543,22.947463,26.272334
"MSTRG.16552",0.926918,0.826971,0.432343,0.673039,0.932702,0.711539
"MSTRG.16553",1.117281,1.191223,1.017441,0.878925,0.802735,1.178094
