,gene_id,TPM_C9,TPM_I9,TPM_C11,TPM_I11,TPM_C16,TPM_I16,TPM_Islet24h_1,TPM_Islet24h_2,TPM_Islet24h_3,TPM_Liver_1,TPM_Liver_2,TPM_Liver_3,TPM_Brain_1,TPM_Brain_2,TPM_Brain_3
26711,MSTRG.465,9.736888,12.553603,8.414761,9.571413,7.595126,8.675533999999999,4.810325,6.270439999999999,4.8876659999999985,7.233172,8.396077,5.563346999999999,9.565281,9.386894,13.554909
26712,MSTRG.4650,25.038552,29.838238,24.010003,27.01145,22.941041000000002,15.851917000000002,18.570577,26.306891999999998,15.485679,13.909705,14.635044,14.539288,20.753518,26.601711,35.978697
26714,MSTRG.4652,7.570864,7.475337,6.102826,6.860316,6.4728129999999995,7.550852000000001,2.919464,4.28976,2.542028,3.4235569999999997,3.493772,3.418665,11.555983000000001,16.564001,15.929239
26715,MSTRG.4653,28.825598,31.29335,31.713396000000003,33.915455,20.541885,24.476065,36.920349,50.876755,31.792315,14.914855,14.035532,15.89969,20.090481,26.335805999999998,30.028439000000002
26721,MSTRG.4659,0.0,0.118648,0.0,0.036333,0.0,0.037651,0.074325,0.162634,0.036042000000000005,20.420584,26.022294,22.538232,1.8581720000000002,0.7314729999999999,2.347784
26722,MSTRG.466,63.35675,66.23509399999999,63.566534999999995,67.06609300000001,39.867334,42.790215,23.714744,33.681342,19.491527,1.070121,0.516363,0.9387719999999999,30.744743,34.427628999999996,44.95413
26723,MSTRG.4660,0.004208,0.0,0.0,0.001596,0.0,0.002077,0.0,0.0,0.0,2.196039,2.728746,2.29927,0.131588,0.133099,0.061538
26724,MSTRG.4661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.565229,4.3992510000000005,3.782142,0.215662,0.26102,0.112051
26725,MSTRG.4662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.425666,3.8094129999999997,2.628795,0.231194,0.0,0.25909499999999996
26728,MSTRG.4665,20.340303,20.376488000000002,19.694602,20.987576,17.602988,19.521592000000002,8.27283,11.613339,7.0079080000000005,9.190889,8.842573,6.869024,20.035201999999998,24.460655000000003,39.094749
26730,MSTRG.4667,29.069139,36.032959999999996,29.845912,32.717469,32.970951,36.742253999999996,12.418747,19.053492,11.369499,3.210492,2.6346060000000002,2.541256,23.256775,26.732521,34.127328
26732,MSTRG.4669,2.8421220000000003,4.622103,2.4342189999999997,3.312532,7.654160000000001,8.840666,5.763366,6.53704,5.789283999999999,1.261669,1.115601,0.974248,9.509293,14.31716,14.584598
26733,MSTRG.467,0.15125999999999998,0.14365799999999998,0.090438,0.086738,0.060333000000000005,0.119306,0.020587,0.0,0.006742000000000001,0.15798399999999999,0.132697,0.155362,1.597816,1.5854190000000001,1.022468
26735,MSTRG.4671,49.454823,65.363241,56.044078000000006,59.961714,51.695661,53.036529,36.738976,49.54543700000001,36.385368,36.113104,39.572564,27.293590000000002,17.134759000000003,17.387887,26.00861
26736,MSTRG.4672,12.130147000000001,14.745401999999999,13.601235,13.218059,9.813708,9.904472,9.136231,13.831695999999999,9.021005,2.9860800000000003,3.1329719999999996,3.1331260000000003,2.8886399999999997,4.110846,4.9757620000000005
26737,MSTRG.4673,0.183861,0.063859,0.14440999999999998,0.15071800000000002,0.158345,0.207313,0.018314,0.033437,0.034523000000000005,0.0,0.0,0.0,3.8290610000000003,3.887263,5.945832
26739,MSTRG.4675,4.441438,4.219858,4.664485,7.538641999999999,5.994867,8.760427,0.6258,0.7375619999999999,0.685465,1.178199,0.938515,1.072868,3.731386,3.242527,4.851719999999999
26742,MSTRG.4678,12.197088,14.089392000000002,13.874378,14.704884,10.241679,9.706528,10.823936999999999,11.757809,9.179306,4.974826,5.234115999999999,4.259259999999999,4.819967,11.392206,10.432905
26743,MSTRG.4679,0.162297,0.20882699999999998,0.10673699999999998,0.281375,0.247319,0.142852,0.113835,0.116134,0.044387,0.043274,0.16405199999999998,0.187204,1.215536,1.2157559999999998,1.797024
26746,MSTRG.4681,20.503839000000003,30.792818,22.408334,24.351972,35.972691999999995,39.663692,10.966489,18.333224,10.943274,3.9141690000000002,1.0110649999999999,2.957857,229.961523,218.53209599999997,246.17680400000003
26747,MSTRG.4682,0.175217,0.0,0.098101,0.0,0.271609,0.09702000000000001,0.0,0.056172,0.074107,0.23246999999999998,0.141151,0.20294700000000002,4.072334,4.894412,2.967397
26750,MSTRG.4685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.756722,131.51910800000002,150.222842,0.0,0.049411000000000004,0.068579
